match_id,date,gender,tournament,round,player_1,player_2,match_score,winner,loser,p1_fsp,p1_ssp,p1_df,p2_fsp,p2_ssp,p2_df
19950319-M-Miami_Masters-F-Pete_Sampras-Andre_Agassi,19950319,M,Miami Masters,F,Pete Sampras,Andre Agassi,6-3 2-6 6-7,Andre Agassi,Pete Sampras,49.0,92.0,4,70.0,96.0,1
19950518-M-Rome_Masters-R16-Corrado_Borroni-Stefan_Edberg,19950518,M,Rome Masters,R16,Corrado Borroni,Stefan Edberg,0-6 2-6,Stefan Edberg,Corrado Borroni,52.0,95.0,1,70.0,86.0,2
19950618-M-Queens_Club-SF-Guy_Forget-Boris_Becker,19950618,M,Queens Club,SF,Guy Forget,Boris Becker,4-6 6-3 6-4,Guy Forget,Boris Becker,65.0,82.0,6,52.0,87.0,5
19950730-M-Amsterdam-F-Jan_Siemerink-Marcelo_Rios,19950730,M,Amsterdam,F,Jan Siemerink,Marcelo Rios,4-6 5-7 4-6,Marcelo Rios,Jan Siemerink,58.0,93.0,3,73.0,92.0,2
19950818-M-New_Haven-QF-Richard_Krajicek-Boris_Becker,19950818,M,New Haven,QF,Richard Krajicek,Boris Becker,7-6 3-6 7-6,Richard Krajicek,Boris Becker,70.0,97.0,1,74.0,85.0,4
19951024-M-Essen_Masters-R32-Pete_Sampras-Stefan_Edberg,19951024,M,Essen Masters,R32,Pete Sampras,Stefan Edberg,6-3 6-2,Pete Sampras,Stefan Edberg,62.0,78.0,5,78.0,82.0,2
19951118-M-Tour_Finals-SF-Pete_Sampras-Michael_Chang,19951118,M,Tour Finals,SF,Pete Sampras,Michael Chang,4-6 4-6,Michael Chang,Pete Sampras,52.0,82.0,5,54.0,100.0,0
19960115-M-Australian_Open-R128-Gaston_Etlis-Andre_Agassi,19960115,M,Australian Open,R128,Gaston Etlis,Andre Agassi,6-3 6-7 6-4 6-7 3-6,Andre Agassi,Gaston Etlis,60.0,95.0,3,65.0,94.0,4
19960127-M-Australian_Open-SF-Michael_Chang-Andre_Agassi,19960127,M,Australian Open,SF,Michael Chang,Andre Agassi,6-1 6-4 7-6,Michael Chang,Andre Agassi,49.0,95.0,2,62.0,88.0,6
19960423-M-Monte_Carlo_Masters-R64-Alex_Corretja-Stefan_Edberg,19960423,M,Monte Carlo Masters,R64,Alex Corretja,Stefan Edberg,6-7 3-6,Stefan Edberg,Alex Corretja,73.0,77.0,6,71.0,79.0,5
19960818-M-Indianapolis-F-Pete_Sampras-Goran_Ivanisevic,19960818,M,Indianapolis,F,Pete Sampras,Goran Ivanisevic,7-6 7-5,Pete Sampras,Goran Ivanisevic,55.0,86.0,4,51.0,86.0,5
19961009-M-Vienna-R16-Thomas_Muster-Stefan_Edberg,19961009,M,Vienna,R16,Thomas Muster,Stefan Edberg,4-6 7-6 5-7,Stefan Edberg,Thomas Muster,60.0,98.0,1,66.0,89.0,4
19961026-M-Stuttgart_Masters-SF-Pete_Sampras-Jan_Siemerink,19961026,M,Stuttgart Masters,SF,Pete Sampras,Jan Siemerink,6-3 6-4,Pete Sampras,Jan Siemerink,60.0,100.0,0,57.0,86.0,4
19961124-M-Tour_Finals-F-Boris_Becker-Pete_Sampras,19961124,M,Tour Finals,F,Boris Becker,Pete Sampras,6-3 6-7 6-7 7-6 4-6,Pete Sampras,Boris Becker,59.0,88.0,8,65.0,92.0,5
19970302-M-Philadelphia-F-Pete_Sampras-Patrick_Rafter,19970302,M,Philadelphia,F,Pete Sampras,Patrick Rafter,5-7 7-6 6-3,Pete Sampras,Patrick Rafter,65.0,94.0,2,76.0,92.0,2
19970426-M-Monte_Carlo_Masters-SF-Carlos_Moya-Marcelo_Rios,19970426,M,Monte Carlo Masters,SF,Carlos Moya,Marcelo Rios,4-6 6-7,Marcelo Rios,Carlos Moya,65.0,96.0,1,38.0,98.0,1
19970606-M-Roland_Garros-SF-Patrick_Rafter-Sergi_Bruguera,19970606,M,Roland Garros,SF,Patrick Rafter,Sergi Bruguera,7-6 1-6 5-7 6-7,Sergi Bruguera,Patrick Rafter,62.0,98.0,1,76.0,94.0,2
19970704-M-Wimbledon-SF-Michael_Stich-Cedric_Pioline,19970704,M,Wimbledon,SF,Michael Stich,Cedric Pioline,7-6 2-6 1-6 7-5 4-6,Cedric Pioline,Michael Stich,60.0,82.0,11,67.0,92.0,4
19970928-M-Grand_Slam_Cup-F-Patrick_Rafter-Pete_Sampras,19970928,M,Grand Slam Cup,F,Patrick Rafter,Pete Sampras,2-6 4-6 5-7,Pete Sampras,Patrick Rafter,60.0,92.0,3,64.0,96.0,1
19971110-M-Tour_Finals-SF-Pete_Sampras-Jonas_Bjorkman,19971110,M,Tour Finals,SF,Pete Sampras,Jonas Bjorkman,6-3 6-4,Pete Sampras,Jonas Bjorkman,68.0,95.0,1,54.0,90.0,3
19980131-M-Australian_Open-SF-Marcelo_Rios-Nicolas_Escude,19980131,M,Australian Open,SF,Marcelo Rios,Nicolas Escude,6-1 6-3 6-2,Marcelo Rios,Nicolas Escude,64.0,100.0,0,54.0,92.0,3
19980131-W-Australian_Open-F-Martina_Hingis-Conchita_Martinez,19980131,W,Australian Open,F,Martina Hingis,Conchita Martinez,6-3 6-3,Martina Hingis,Conchita Martinez,75.0,100.0,0,63.0,88.0,3
19980315-M-Indian_Wells_Masters-F-Marcelo_Rios-Greg_Rusedski,19980315,M,Indian Wells Masters,F,Marcelo Rios,Greg Rusedski,6-3 6-7 7-6 6-4,Marcelo Rios,Greg Rusedski,68.0,100.0,0,50.0,86.0,11
19980406-M-Davis_Cup_World_Group_R1-RR-Yevgeny_Kafelnikov-Andre_Agassi,19980406,M,Davis Cup World Group R1,RR,Yevgeny Kafelnikov,Andre Agassi,6-3 6-0 7-6,Yevgeny Kafelnikov,Andre Agassi,56.0,89.0,4,57.0,94.0,2
19980823-M-Indianapolis-F-Alex_Corretja-Andre_Agassi,19980823,M,Indianapolis,F,Alex Corretja,Andre Agassi,2-6 6-2 6-3,Alex Corretja,Andre Agassi,60.0,93.0,2,70.0,76.0,5
19980910-W-US_Open-SF-Martina_Hingis-Jana_Novotna,19980910,W,US Open,SF,Martina Hingis,Jana Novotna,3-6 6-1 6-4,Martina Hingis,Jana Novotna,73.0,100.0,0,66.0,93.0,2
19981005-W-Filderstadt-R32-Venus_Williams-Silvia_Farina_Elia,19981005,W,Filderstadt,R32,Venus Williams,Silvia Farina Elia,6-2 4-6 6-3,Venus Williams,Silvia Farina Elia,67.0,93.0,2,52.0,88.0,5
19981107-M-Paris_Masters-SF-Greg_Rusedski-Yevgeny_Kafelnikov,19981107,M,Paris Masters,SF,Greg Rusedski,Yevgeny Kafelnikov,6-3 4-6 6-4,Greg Rusedski,Yevgeny Kafelnikov,56.0,76.0,9,58.0,94.0,2
19981107-M-Paris_Masters-SF-Pete_Sampras-Todd_Martin,19981107,M,Paris Masters,SF,Pete Sampras,Todd Martin,6-4 7-6,Pete Sampras,Todd Martin,56.0,93.0,2,66.0,93.0,2
19990130-W-Australian_Open-F-Amelie_Mauresmo-Martina_Hingis,19990130,W,Australian Open,F,Amelie Mauresmo,Martina Hingis,2-6 3-6,Martina Hingis,Amelie Mauresmo,46.0,88.0,5,69.0,88.0,2
19990602-M-Wimbledon-SF-Patrick_Rafter-Andre_Agassi,19990602,M,Wimbledon,SF,Patrick Rafter,Andre Agassi,5-7 6-7 2-6,Andre Agassi,Patrick Rafter,67.0,95.0,2,61.0,91.0,3
