h2h_win_ratio_diff,h2h_recent_momentum,recent_form_diff,win_rate_diff,serve_rating_diff,bp_conv_pctg_diff,dom_ratio_diff,fatigue_diff,match_volume_14d_diff,win_rate_hard_diff,target,match_id,date,player_id,opponent_id,win_rate_clay_diff,win_rate_grass_diff
0.0,0.0,0.25,0.19565217391304346,0.673790909090909,-0.08278145695364236,0.7536363636363637,0.4,4.0,,0.0,1446,2025-04-23,24,82,0.25,
0.1,1.0,0.0,0.07894736842105265,0.6923473684210527,-0.15116279069767447,0.7884210526315787,0.2,2.0,,1.0,1418,2025-04-23,23,33,0.0,
0.0,0.0,-0.16666666666666669,0.1470588235294118,0.70143125,-0.16666666666666669,0.6699999999999999,0.2,2.0,,0.0,1255,2025-04-23,20,77,-0.16666666666666669,
0.0,0.0,0.08333333333333337,0.17989417989417988,-0.023771666666666746,0.11278811278811285,-0.00651851851851859,0.3,3.0,,1.0,1089,2025-04-23,17,60,0.25,
0.0,0.0,0.7142857142857143,0.23703703703703705,0.03815952380952381,0.0426282051282052,0.45732804232804247,0.3,3.0,,1.0,400,2025-04-23,6,53,0.7142857142857143,
0.0,0.0,0.7142857142857143,0.05664488017429192,0.026954901960784428,0.04199927431059508,0.3598910675381264,0.19999999999999998,2.0,,1.0,399,2025-04-23,6,38,0.7142857142857143,
0.0,0.0,0.0,0.13777777777777778,0.00807866666666679,0.027368421052631486,0.35373333333333346,-0.3,-3.0,,1.0,917,2025-04-23,14,35,-0.125,
0.1,1.0,0.0,0.2777777777777778,0.6968666666666667,-0.08666666666666673,0.8733333333333333,0.0,0.0,,1.0,916,2025-04-23,14,32,0.0,
0.0,0.0,0.0,0.0935672514619883,0.02502222222222239,-0.026227106227106334,0.04222222222222216,0.0,0.0,,1.0,915,2025-04-23,14,29,-0.16666666666666663,
0.0,0.0,0.0,0.2777777777777778,0.6968666666666667,-0.08666666666666673,0.8733333333333333,0.0,0.0,,1.0,914,2025-04-23,14,64,0.0,
0.0,0.0,0.16666666666666669,-0.0625,-0.03949791666666669,0.04906204906204903,-0.20034722222222223,0.09999999999999998,1.0,,0.0,1744,2025-04-23,30,37,0.09999999999999998,
0.0,0.0,-0.16666666666666669,0.0,0.6700666666666667,-0.13492063492063489,0.7472222222222222,0.2,2.0,,1.0,2068,2025-04-23,37,56,-0.09999999999999998,
0.0,0.0,-0.09999999999999998,-0.23333333333333334,0.6247066666666667,-0.1986301369863014,0.3546666666666667,0.3,3.0,,1.0,2012,2025-04-23,36,89,-0.09999999999999998,
0.0,0.0,-0.5,-0.033333333333333326,0.6575071428571428,-0.06666666666666671,0.4978571428571429,0.0,0.0,,1.0,2528,2025-04-23,53,75,-0.5,
0.0,0.0,0.16666666666666663,0.15000000000000002,0.6393349999999999,-0.01282051282051283,0.6154999999999999,0.3,3.0,,0.0,875,2025-04-23,13,69,0.0,
0.0,0.0,0.3333333333333333,-0.15000000000000002,-0.07927666666666655,-0.10740740740740745,-0.38583333333333314,0.0,0.0,,0.0,1612,2025-04-23,27,44,0.3142857142857143,
-0.2,-1.0,-0.11904761904761907,0.01620370370370372,0.06928000000000001,0.10861459968602832,0.3518518518518523,0.3,3.0,,0.0,398,2025-04-23,6,9,-0.0357142857142857,
0.2,1.0,0.19999999999999996,0.38333333333333336,0.04296392156862727,0.03196347031963476,0.4023921568627453,0.0,0.0,,1.0,670,2025-04-23,10,36,0.19999999999999996,
0.0,0.0,0.0,0.1428571428571429,0.7213785714285714,-0.1063829787234043,0.8921428571428571,0.0,0.0,,1.0,333,2025-04-23,5,115,0.0,
0.0,0.0,0.5,0.2666666666666666,0.020793030303030147,0.11721854304635765,0.10951515151515168,0.4,4.0,,0.0,1149,2025-04-23,18,27,0.0,
0.0,0.0,0.0,0.14,0.688788,-0.11403508771929821,0.5195999999999998,0.3,3.0,,1.0,1935,2025-04-23,35,129,0.125,
0.0,0.0,0.5,0.1875,-0.04368000000000005,0.0022675736961450532,-0.14388888888888918,-0.2,-2.0,,1.0,615,2025-04-23,9,37,0.35,
0.0,0.0,-0.16666666666666669,-0.033333333333333326,0.6558200000000001,-0.06880733944954126,0.5833333333333333,0.2,2.0,,0.0,2317,2025-04-23,43,51,-0.16666666666666669,
0.0,0.0,-0.16666666666666669,-0.09999999999999998,0.005800000000000138,-0.05760104729176885,0.14722222222222214,-0.09999999999999998,-1.0,,1.0,2069,2025-04-23,37,45,-0.09999999999999998,
0.0,0.0,0.0,0.2727272727272727,0.6866142857142857,-0.13186813186813184,1.0161904761904763,0.0,0.0,,1.0,965,2025-04-23,15,149,0.33333333333333337,
0.0,0.0,-0.5,0.19999999999999996,0.7045842105263157,-0.08461538461538459,0.6821052631578945,0.1,1.0,,1.0,1546,2025-04-23,26,78,-0.5,
0.0,0.0,0.0,0.08851674641148322,0.014769841269841377,-0.07142857142857145,0.18507936507936518,0.0,0.0,,0.0,964,2025-04-23,15,29,0.16666666666666674,
0.0,0.0,0.6666666666666666,-0.033333333333333326,-0.021808020050125276,0.03321351545650608,-0.10924812030075182,0.4,4.0,,0.0,803,2025-04-23,12,26,0.6666666666666666,
0.1,1.0,0.16666666666666663,0.16666666666666663,0.6827761904761904,-0.05140186915887851,0.5728571428571427,0.5,5.0,,1.0,804,2025-04-23,12,97,0.16666666666666663,
0.0,0.0,-0.5,0.1470588235294118,0.6687117647058822,-0.06603773584905659,0.595294117647059,0.1,1.0,,1.0,2120,2025-04-23,38,71,-0.5,
-0.2,-1.0,0.0,0.125,0.0542979166666665,0.023358585858585912,0.09245833333333331,-0.3,-3.0,,0.0,1032,2025-04-23,16,30,0.0,
0.0,0.0,0.16666666666666663,0.16666666666666663,0.6986333333333333,-0.14625850340136054,0.7857142857142856,0.3,3.0,,1.0,1489,2025-04-23,25,72,0.16666666666666663,
0.0,0.0,0.16666666666666663,0.023809523809523836,0.647305,-0.16233766233766234,0.6380000000000001,0.0,0.0,,1.0,2584,2025-04-23,60,83,0.0,
0.0,0.0,-0.16666666666666669,-0.09999999999999998,0.6199933333333334,-0.2,0.4786666666666667,0.1,1.0,,1.0,1614,2025-04-23,27,47,0.2142857142857143,
0.0,0.0,0.09999999999999998,-0.1842105263157895,-0.018425694444444418,-0.06729766583781188,-0.1954861111111108,0.4,4.0,,0.0,1211,2025-04-23,19,29,-0.06666666666666665,
0.0,0.0,0.09999999999999998,0.0,0.6534187499999999,-0.12773722627737227,0.6356250000000003,0.4,4.0,,1.0,1212,2025-04-23,19,61,0.09999999999999998,
0.0,0.0,-0.5,0.05555555555555558,0.6215882352941178,-0.14227642276422764,0.54,0.1,1.0,,1.0,2637,2025-04-27,66,211,0.0,
0.0,0.0,-0.5,0.05555555555555558,0.6215882352941178,-0.14227642276422764,0.54,0.1,1.0,,1.0,2640,2025-04-27,66,397,0.0,
0.0,0.0,0.0,0.25,0.6842478260869564,-0.15048543689320387,0.9895652173913043,0.2,2.0,,0.0,963,2025-04-27,15,95,0.25,
0.0,0.0,-0.5,0.05555555555555558,0.6215882352941178,-0.14227642276422764,0.54,0.1,1.0,,1.0,2639,2025-04-27,66,146,0.0,
0.0,0.0,0.0,0.11904761904761907,0.6401619047619047,-0.018292682926829285,0.6123809523809522,0.4,4.0,,0.0,874,2025-04-27,13,310,-0.09999999999999998,
