Player,Match,first_serve_pctg,second_serve_pctg,double_faults,win
Novak Djokovic,20200228-M-Dubai-SF-Novak_Djokovic-Gael_Monfils,74.0,96.0,1,True
Gael Monfils,20200228-M-Dubai-SF-Novak_Djokovic-Gael_Monfils,64.7,83.3,6,False
Novak Djokovic,20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,63.2,100.0,0,True
Stefanos Tsitsipas,20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,64.6,82.4,3,False
Ernests Gulbis,20200301-M-Pau_CH-F-Ernests_Gulbis-Jerzy_Janowicz,57.7,81.8,4,True
Jerzy Janowicz,20200301-M-Pau_CH-F-Ernests_Gulbis-Jerzy_Janowicz,71.7,100.0,0,False
Alexander Bublik,20200306-M-Davis_Cup_Qualifiers-RR-Alexander_Bublik-Tallon_Griekspoor,57.3,84.4,5,True
Tallon Griekspoor,20200306-M-Davis_Cup_Qualifiers-RR-Alexander_Bublik-Tallon_Griekspoor,57.6,85.7,6,False
Mikhail Kukushkin,20200306-M-Davis_Cup_Qualifiers-RR-Mikhail_Kukushkin-Robin_Haase,60.0,97.2,1,False
Robin Haase,20200306-M-Davis_Cup_Qualifiers-RR-Mikhail_Kukushkin-Robin_Haase,57.3,92.7,3,True
Ernests Gulbis,20200306-M-Davis_Cup_WG_II-RR-Ernests_Gulbis-Karim_Mohamed_Maamoun,49.3,91.4,3,True
Karim Mohamed Maamoun,20200306-M-Davis_Cup_WG_II-RR-Ernests_Gulbis-Karim_Mohamed_Maamoun,71.7,93.3,1,False
Alexander Bublik,20200307-M-Davis_Cup_Qualifiers-RR-Alexander_Bublik-Robin_Haase,62.5,87.5,3,True
Robin Haase,20200307-M-Davis_Cup_Qualifiers-RR-Alexander_Bublik-Robin_Haase,66.2,91.7,2,False
Ernests Gulbis,20200307-M-Davis_Cup_WG_II-RR-Ernests_Gulbis-Mohamed_Safwat,56.9,90.9,2,True
Mohamed Safwat,20200307-M-Davis_Cup_WG_II-RR-Ernests_Gulbis-Mohamed_Safwat,75.4,93.8,1,False
Reilly Opelka,20200825-M-Cincinnati_Masters-R16-Reilly_Opelka-Matteo_Berrettini,60.3,95.7,1,True
Matteo Berrettini,20200825-M-Cincinnati_Masters-R16-Reilly_Opelka-Matteo_Berrettini,64.2,84.2,3,False
Jeremy Chardy,20200901-M-US_Open-R128-Jeremy_Chardy-Andrey_Rublev,65.1,75.0,11,False
Andrey Rublev,20200901-M-US_Open-R128-Jeremy_Chardy-Andrey_Rublev,53.3,92.9,3,True
John Millman,20200902-M-US_Open-R128-John_Millman-Nikoloz_Basilashvili,59.1,100.0,0,True
Nikoloz Basilashvili,20200902-M-US_Open-R128-John_Millman-Nikoloz_Basilashvili,58.5,94.1,2,False
Felix Auger Aliassime,20200903-M-US_Open-R64-Felix_Auger_Aliassime-Andy_Murray,65.7,91.7,2,True
Andy Murray,20200903-M-US_Open-R64-Felix_Auger_Aliassime-Andy_Murray,54.7,95.3,2,False
Ugo Humbert,20200903-M-US_Open-R64-Ugo_Humbert-Matteo_Berrettini,63.0,83.8,6,False
Matteo Berrettini,20200903-M-US_Open-R64-Ugo_Humbert-Matteo_Berrettini,69.0,96.3,1,True
Taylor Fritz,20200904-M-US_Open-R32-Taylor_Fritz-Denis_Shapovalov,59.4,91.4,5,False
Denis Shapovalov,20200904-M-US_Open-R32-Taylor_Fritz-Denis_Shapovalov,68.7,78.7,10,True
Casper Ruud,20200905-M-US_Open-R32-Casper_Ruud-Matteo_Berrettini,62.8,90.6,3,False
Matteo Berrettini,20200905-M-US_Open-R32-Casper_Ruud-Matteo_Berrettini,60.2,88.6,4,True
Felix Auger Aliassime,20200905-M-US_Open-R32-Felix_Auger_Aliassime-Corentin_Moutet,63.2,85.7,4,True
Corentin Moutet,20200905-M-US_Open-R32-Felix_Auger_Aliassime-Corentin_Moutet,59.2,90.3,3,False
Novak Djokovic,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,65.4,82.1,5,True
Jan Lennard Struff,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,56.6,90.9,3,False
Novak Djokovic,20200906-M-US_Open-R16-Novak_Djokovic-Pablo_Carreno_Busta,71.4,100.0,0,False
Pablo Carreno Busta,20200906-M-US_Open-R16-Novak_Djokovic-Pablo_Carreno_Busta,66.7,100.0,0,True
Marin Cilic,20200906-M-US_Open-R32-Marin_Cilic-Dominic_Thiem,62.2,91.9,3,False
Dominic Thiem,20200906-M-US_Open-R32-Marin_Cilic-Dominic_Thiem,58.7,95.3,2,True
