match,tournament,round,date,completed,log_reg_prob,rf_prob,ens_prob,log_reg_ml_p1,log_reg_ml_p2,rf_ml_p1,rf_ml_p2,ens_ml_p1,ens_ml_p2,log_reg_dec_p1,log_reg_dec_p2,rf_dec_p1,rf_dec_p2,ens_dec_p1,ens_dec_p2
19754,Sassuolo CH,Q1,2025-06-16,True,0.7755759397899625,0.7742491315602716,0.7743818123832407,-346,346,-343,343,-343,343,1.2894,4.4559,1.2916,4.4297,1.2914,4.4323
21449,Vicenza CH,Q2,2025-05-26,True,0.7845658442907324,0.4328378557006971,0.4680106545597007,-364,364,131,-131,114,-114,1.2746,4.6418,2.3103,1.7632,2.1367,1.8797
21450,Vicenza CH,Q1,2025-05-26,True,0.7845658442907324,0.4328378557006971,0.4680106545597007,-364,364,131,-131,114,-114,1.2746,4.6418,2.3103,1.7632,2.1367,1.8797
22762,M25 Cuiaba,R16,2025-09-08,True,0.7638501214235889,0.4688943766477798,0.49838995112536066,-323,323,113,-113,101,-101,1.3092,4.2346,2.1327,1.8829,2.0065,1.9936
22763,M25 Cuiaba,R32,2025-09-08,True,0.7638501214235889,0.4688943766477798,0.49838995112536066,-323,323,113,-113,101,-101,1.3092,4.2346,2.1327,1.8829,2.0065,1.9936
23147,San Miguel de Tucuman CH,R16,2025-04-21,True,0.6983136948521564,0.74,0.7358313694852157,-231,231,-285,285,-279,279,1.432,3.3147,1.3514,3.8462,1.359,3.7855
23148,San Miguel de Tucuman CH,R32,2025-04-21,True,0.6315135948469479,0.59,0.5941513594846948,-171,171,-144,144,-146,146,1.5835,2.7138,1.6949,2.439,1.6831,2.464
24359,Manacor CH,Q2,2025-08-26,True,0.6294233465956791,0.69,0.6839423346595679,-170,170,-223,223,-216,216,1.5888,2.6985,1.4493,3.2258,1.4621,3.164
24360,Manacor CH,Q1,2025-08-26,True,0.7755759397899625,0.8968132730702841,0.8846895397422521,-346,346,-869,869,-767,767,1.2894,4.4559,1.1151,9.6912,1.1303,8.6722
27093,Nottingham CH,R32,2026-01-05,True,0.6315135948469479,0.68,0.6751513594846948,-171,171,-213,213,-208,208,1.5835,2.7138,1.4706,3.125,1.4811,3.0784
